Time,Congestion Window
0,1000
0.208,2000
0.416,3000
0.424,4000
0.624,5000
0.632,6000
0.64,7000
0.648,8000
0.832,9000
0.84,10000
0.848,11000
0.856,12000
0.864,13000
0.872,14000
0.88,15000
1.04,15000
1.048,15000
1.056,1000
1.064,1000
1.072,1000
1.08,1000
1.088,1000
1.096,1000
1.104,1000
1.112,1000
1.12,1000
1.128,1000
1.264,2000
1.472,3000
1.48,3000
1.68,4000
1.688,5000
1.696,6000
1.888,7000
2.112,8000
2.32,9000
2.52,1000
2.528,1000
2.536,1000
2.544,1000
2.552,1000
2.56,1000
2.728,2000
2.936,3000
2.944,4000
3.16,5000
3.376,6000
3.592,7000
3.808,8000
4.024,9000
4.24,10000
4.456,11000
4.672,12000
4.888,13000
5.104,14000
5.32,15000
5.536,16000
5.752,17000
5.968,18000
6.184,19000
6.408,20000
6.624,21000
6.84,22000
7.056,23000
7.272,24000
7.512,25000
7.72,26000
7.944,27000
8.16,28000
8.384,29000
8.624,30000
