Time,Sequence Number,Event
0,0,send
0,0,transmit
0.208,0,ack
0.208,1000,send
0.208,2000,send
0.208,1000,transmit
0.216,2000,transmit
0.416,1000,ack
0.416,3000,send
0.416,4000,send
0.416,3000,transmit
0.424,2000,ack
0.424,5000,send
0.424,6000,send
0.424,4000,transmit
0.432,5000,transmit
0.44,6000,transmit
0.624,3000,ack
0.624,7000,send
0.624,8000,send
0.624,7000,transmit
0.632,4000,ack
0.632,9000,send
0.632,10000,send
0.632,8000,transmit
0.64,5000,ack
0.64,11000,send
0.64,12000,send
0.64,9000,transmit
0.648,6000,ack
0.648,13000,send
0.648,14000,drop
0.648,10000,transmit
0.656,11000,transmit
0.664,12000,transmit
0.672,13000,transmit
0.832,7000,ack
0.832,15000,send
0.832,16000,send
0.832,15000,transmit
0.84,8000,ack
0.84,17000,send
0.84,18000,send
0.84,16000,transmit
0.848,9000,ack
0.848,19000,send
0.848,20000,send
0.848,17000,transmit
0.856,10000,ack
0.856,21000,send
0.856,22000,send
0.856,18000,transmit
0.864,11000,ack
0.864,23000,send
0.864,24000,send
0.864,19000,transmit
0.872,12000,ack
0.872,25000,send
0.872,26000,drop
0.872,20000,transmit
0.88,13000,ack
0.88,27000,send
0.88,28000,drop
0.88,21000,transmit
0.888,22000,transmit
0.896,23000,transmit
0.904,24000,transmit
0.912,25000,transmit
0.92,27000,transmit
1.04,13000,ack
1.048,13000,ack
1.056,13000,ack
1.056,14000,send
1.056,14000,transmit
1.064,13000,ack
1.072,13000,ack
1.08,13000,ack
1.088,13000,ack
1.096,13000,ack
1.104,13000,ack
1.112,13000,ack
1.12,13000,ack
1.128,13000,ack
1.264,25000,ack
1.264,26000,send
1.264,27000,send
1.264,26000,transmit
1.272,27000,transmit
1.472,27000,ack
1.472,28000,send
1.472,29000,send
1.472,30000,send
1.472,28000,transmit
1.48,27000,ack
1.48,29000,transmit
1.488,30000,transmit
1.68,28000,ack
1.68,31000,send
1.68,32000,send
1.68,31000,transmit
1.688,29000,ack
1.688,33000,send
1.688,34000,send
1.688,32000,transmit
1.696,30000,ack
1.696,35000,send
1.696,36000,send
1.696,33000,transmit
1.704,34000,transmit
1.712,35000,transmit
1.72,36000,transmit
1.888,31000,ack
1.888,37000,send
1.888,38000,send
1.888,37000,transmit
1.896,32000,ack
1.896,39000,send
1.896,38000,transmit
1.904,33000,ack
1.904,40000,send
1.904,39000,transmit
1.912,34000,ack
1.912,41000,send
1.912,40000,transmit
1.92,35000,ack
1.92,42000,send
1.92,41000,transmit
1.928,36000,ack
1.928,43000,send
1.928,42000,transmit
1.936,43000,transmit
2.096,37000,ack
2.096,44000,send
2.096,44000,transmit
2.104,38000,ack
2.104,45000,send
2.104,45000,transmit
2.112,39000,ack
2.112,46000,send
2.112,47000,send
2.112,46000,transmit
2.12,40000,ack
2.12,48000,send
2.12,47000,transmit
2.128,41000,ack
2.128,49000,send
2.128,48000,transmit
2.136,42000,ack
2.136,50000,drop
2.136,49000,transmit
2.144,43000,ack
2.144,51000,send
2.144,51000,transmit
2.304,44000,ack
2.304,52000,send
2.304,52000,transmit
2.312,45000,ack
2.312,53000,send
2.312,53000,transmit
2.32,46000,ack
2.32,54000,send
2.32,55000,send
2.32,54000,transmit
2.328,47000,ack
2.328,56000,send
2.328,55000,transmit
2.336,48000,ack
2.336,57000,send
2.336,56000,transmit
2.344,49000,ack
2.344,58000,send
2.344,57000,transmit
2.352,49000,ack
2.352,58000,transmit
2.512,49000,ack
2.52,49000,ack
2.52,50000,send
2.52,50000,transmit
2.528,49000,ack
2.536,49000,ack
2.544,49000,ack
2.552,49000,ack
2.56,49000,ack
2.728,58000,ack
2.728,59000,send
2.728,60000,send
2.728,59000,transmit
2.736,60000,transmit
2.936,59000,ack
2.936,61000,send
2.936,62000,send
2.936,61000,transmit
2.944,60000,ack
2.944,63000,send
2.944,64000,send
2.944,62000,transmit
2.952,63000,transmit
2.96,64000,transmit
3.144,61000,ack
3.144,65000,send
3.144,65000,transmit
3.152,62000,ack
3.152,66000,send
3.152,66000,transmit
3.16,63000,ack
3.16,67000,send
3.16,68000,send
3.16,67000,transmit
3.168,64000,ack
3.168,69000,send
3.168,68000,transmit
3.176,69000,transmit
3.352,65000,ack
3.352,70000,send
3.352,70000,transmit
3.36,66000,ack
3.36,71000,send
3.36,71000,transmit
3.368,67000,ack
3.368,72000,send
3.368,72000,transmit
3.376,68000,ack
3.376,73000,send
3.376,74000,send
3.376,73000,transmit
3.384,69000,ack
3.384,75000,send
3.384,74000,transmit
3.392,75000,transmit
3.56,70000,ack
3.56,76000,send
3.56,76000,transmit
3.568,71000,ack
3.568,77000,send
3.568,77000,transmit
3.576,72000,ack
3.576,78000,send
3.576,78000,transmit
3.584,73000,ack
3.584,79000,send
3.584,79000,transmit
3.592,74000,ack
3.592,80000,send
3.592,81000,send
3.592,80000,transmit
3.6,75000,ack
3.6,82000,send
3.6,81000,transmit
3.608,82000,transmit
3.768,76000,ack
3.768,83000,send
3.768,83000,transmit
3.776,77000,ack
3.776,84000,send
3.776,84000,transmit
3.784,78000,ack
3.784,85000,send
3.784,85000,transmit
3.792,79000,ack
3.792,86000,send
3.792,86000,transmit
3.8,80000,ack
3.8,87000,send
3.8,87000,transmit
3.808,81000,ack
3.808,88000,send
3.808,89000,send
3.808,88000,transmit
3.816,82000,ack
3.816,90000,send
3.816,89000,transmit
